ts_code,code,weight,value分,pe_ttm,pb,circ_mv亿,name
300628.SZ,300628,0.0037593984962406013,1.0,16.0,4.47,238.8,亿联网络
603236.SH,603236,0.0037593984962406013,1.0,22.3,3.19,195.5,移远通信
300679.SZ,300679,0.0037593984962406013,0.999,27.0,2.88,122.7,电连技术
688789.SH,688789,0.0037593984962406013,0.999,22.6,3.34,119.3,宏华数科
688188.SH,688188,0.0037593984962406013,0.998,34.7,6.39,384.7,柏楚电子
601808.SH,601808,0.0037593984962406013,0.998,19.3,1.59,459.8,中海油服
300470.SZ,300470,0.0037593984962406013,0.997,18.7,2.8,71.0,中密控股
920982.SZ,920982,0.0037593984962406013,0.997,30.1,10.34,93.4,
301275.SZ,301275,0.0037593984962406013,0.997,34.2,4.24,117.8,汉朔科技
000768.SZ,000768,0.0037593984962406013,0.996,59.7,3.09,686.1,中航西飞
605020.SH,605020,0.0037593984962406013,0.996,22.4,2.27,126.5,永和股份
300525.SZ,300525,0.0037593984962406013,0.996,28.6,3.12,64.5,博思软件
000025.SZ,000025,0.0037593984962406013,0.996,45.7,3.84,63.3,特力A
688449.SH,688449,0.0037593984962406013,0.995,139.3,10.39,126.2,联芸科技
688111.SH,688111,0.0037593984962406013,0.995,61.2,8.73,1124.3,金山办公
603194.SH,603194,0.0037593984962406013,0.995,15.1,2.56,52.2,中力股份
601799.SH,601799,0.0037593984962406013,0.994,21.6,3.08,351.4,星宇股份
605333.SH,605333,0.0037593984962406013,0.993,18.1,3.47,111.6,沪光股份
603596.SH,603596,0.0037593984962406013,0.993,20.8,3.49,272.1,伯特利
603501.SH,603501,0.0037593984962406013,0.992,29.9,3.71,1162.5,豪威集团
603025.SH,603025,0.0037593984962406013,0.992,22.1,5.76,155.6,大豪科技
601865.SH,601865,0.0037593984962406013,0.992,34.0,1.51,270.7,福莱特
002906.SZ,002906,0.0037593984962406013,0.992,19.1,2.14,149.5,华阳集团
002410.SZ,002410,0.0037593984962406013,0.991,46.0,3.08,177.1,广联达
603072.SH,603072,0.0037593984962406013,0.991,64.2,4.48,45.8,天和磁材
688772.SH,688772,0.0037593984962406013,0.99,37.4,2.41,176.4,珠海冠宇
002920.SZ,002920,0.0037593984962406013,0.99,26.1,4.15,594.9,德赛西威
002096.SZ,002096,0.0037593984962406013,0.99,18.4,1.83,145.8,易普力
603341.SH,603341,0.0037593984962406013,0.989,34.1,2.77,101.6,龙旗科技
