代码,名称,行业,PE分位,PB分位,value便宜排名,F分,7项明细,负债率,现金流ocfps,ROA,流通市值亿
601899,紫金矿业,铜,0.03,0.34,1.0,6,✓✓✓✓✓✓·,51.4,1.05,6.0,5171.1
603737,三棵树,染料涂料,0.01,0.07,1.0,6,✓✓✓✓✓·✓,74.6,0.12,1.2,214.4
601865,福莱特,玻璃,0.26,0.0,1.0,5,✓✓·✓✓✓·,46.9,0.13,0.4,193.5
300628,亿联网络,通信设备,0.01,0.01,1.0,6,✓✓✓✓·✓✓,7.6,0.2,6.6,241.6
600406,国电南瑞,电气设备,0.0,0.0,1.0,5,✓·✓·✓✓✓,40.2,-0.19,0.9,1821.1
603025,大豪科技,纺织机械,0.0,0.01,0.99,7,✓✓✓✓✓✓✓,33.0,0.11,6.0,148.5
688259,创耀科技,半导体,0.04,0.13,0.99,5,✓✓·✓✓✓·,12.8,0.28,0.2,40.3
688111,金山办公,软件服务,0.0,0.0,0.99,7,✓✓✓✓✓✓✓,25.2,0.13,12.5,928.2
688065,凯赛生物,化工原料,0.11,0.06,0.99,5,✓·✓·✓✓✓,12.5,-0.03,0.7,277.8
605499,东鹏饮料,软饮料,0.0,0.0,0.99,5,✓✓·✓✓✓·,44.5,0.8,4.7,749.7
600989,宝丰能源,化工原料,0.0,0.34,0.99,7,✓✓✓✓✓✓✓,44.9,0.76,4.8,1520.9
002073,软控股份,专用机械,0.0,0.0,0.99,5,✓✓·✓✓✓·,66.7,0.06,0.2,51.6
300850,新强联,机械基件,0.0,0.11,0.99,5,✓✓·✓✓✓·,38.7,0.47,1.6,78.5
002340,格林美,小金属,0.0,0.08,0.99,5,✓✓✓✓·✓·,65.4,0.05,1.3,339.6
600262,北方股份,专用机械,0.0,0.04,0.98,6,✓✓✓✓✓✓·,62.3,2.15,1.8,33.6
600741,华域汽车,汽车配件,0.04,0.0,0.98,5,✓✓·✓✓✓·,62.1,1.65,0.9,500.3
002823,凯中精密,机械基件,0.0,0.24,0.98,5,✓✓·✓✓✓·,42.3,0.31,1.7,31.3
300750,宁德时代,电气设备,0.28,0.33,0.98,7,✓✓✓✓✓✓✓,62.3,7.38,2.5,16219.2
002967,广电计量,电器仪表,0.01,0.13,0.98,5,✓·✓·✓✓✓,34.9,-0.16,0.1,98.8
688615,合合信息,软件服务,0.01,0.01,0.98,6,✓✓✓✓·✓✓,24.1,1.36,4.1,146.2
